"Final price (in %s)","Prix final (en %s)"
"Number of brands displayed","Nombre de marques à afficher"
"Select the maximum number of brands to display","Choisissez le nombre maximal de marques à afficher"
Categories,"Afficher les catégories ?"
"Display categories in auto complete results","Affiche les catégories dans les suggestions"
"Number of categories displayed","Nombre de catégories à afficher"
"Select the maximum number of categories to display","Choisissez le nombre maximal de catégories à afficher"
Template,Modèle
"Configure here the XSLT template to display ACP results. Caution: if your template set his own sort order for columns, then 'Sort order'  above settings will not work anymore","Configurez ici votre modèle de transformation XSLT pour afficher les résultats de l'ACP. Attention: si votre modèle fixe son propre ordre d'affichage des colonnes, alors le paramètre 'Ordre' ci-dessus sera sans effet"
Example,Exemple
"Display a popup with a sample of XML code that will be transformed with the XSLT stylesheet.","Affiche une popup avec un exemple de code XML qui sera transformé par la feuille de style XSLT."
"Restore the default XSLT template (usefull if you broke it !)","Restaure le modèle XSLT par défaut (utile si vous l'avez cassé !)"
"Sort order",Ordre
"First collection to display in suggest","Première colonne à afficher dans l'autocomplétion"
"Second collection to display in suggest","Seconde colonne à afficher dans l'autocomplétion"
"Third collection to display in suggest","Troisième colonne à afficher dans l'autocomplétion"
"Search engine","Moteur de recherche"
"Select Magento or AFS@Store (recommended) search engine. Rollback to Magento only if you experience issues","Choisissez le moteur de recherche de Magento ou d'AFS@Store (recommandé). Ne revenir à celui de Magento qu'en cas de problème"
"Display categories","Afficher les rayons"
"Display categories matching to search query (require template customization)","Affiche des liens directs vers les pages de catégories correspondant à la recherche (requiert de la personnalisation de modèle Magento, voir documentation de l'extension)"
"Spellcheck sentence","Phrase de suggestion orthographique"
"Text to display when a spellcheck suggestion is available. Use {spellcheck} keyword to include AFS@Store suggestion in your text","Texte à afficher quand une suggestion orthographique est disponible. Utilisez {spellcheck} pour inclure la suggestion dans votre texte"
Facets,Facettes
"Select the facets (and the order) you want to enable on the search page","Choisissez les facettes (et leur ordre d'affichage) que vous souhaitez dans la page de résultats de recherche"
"Max number of facet values","Nombre max de valeurs de facettes affichées"
"Max number of options to display for a facet (additional results will be hidden)","Nombre max de valeurs affichées pour une facette (les autres valeurs seront cachées)"
"Price facet label","Libellé pour la facette prix"
"Text to display for each price ranges : use {min} and {max} codes to include values in your text","Texte à afficher pour chaque intervalle de prix : utilisez {min} et {max} pour inclure les bornes dans votre texte"
"Sort options","Critères de tri"
"Select sort options available in sort drop down menu","Choisissez les critères de tri disponibles dans la liste déroulante de la page résultat"
"Default sort","Tri par défaut"
"Default sort to apply","Tri par défaut à appliquer aux résultats"
Merchandising,Merchandising
"Promote redirect","Redirection Promote"
"Allows you to choose how Promote campaigns created in Antidot Back-Office are used to redirect search towards internal urls","Vous permet de choisir la façon dont les campagnes Promote, créées dans le Back-Office Antidot, sont utilisés pour rediriger les visiteurs vers des pages d'atterrissage de votre site"
"On-demand Data Upload","Envoi de données à la demande"
"Push products","Envoyez le catalogue"
"Manually push products index to AFS@Store (usefull when you change configuration above)","Envoi manuel des produits pour l'indexation AFS@Store (utile après une modification de paramétrage dans le mapping)"
"Data upload report","Rapport d'envoi des données"
"Last index push history logs","Journal des derniers envois de données"
Price,Prix
categories,Catégories
products,Produits
brands,Marques
Ascending,Ascendant
Descending,Descendant
Disable,Non
Enable,Oui
All,Toujours
"Only when no result","Seulement si aucun résultat"
Always,Toujours
Relevance,Pertinence
Position,Position
Name,Désignation
Price,Prix
"Is promotional",Promotions
"Is new",Nouveautés
"Is top sale","Top des ventes"
"Is featured","Mis en avant"
"Additional fields for plain text indexation","Champs textuels supplémentaires pour l'indexation"
"Working directory","Dossier de travail"
"Local directory to use to generate xml files. If empty, /tmp will be used","Répertoire local à utiliser pour générer les fichiers xml. Si vide, le dossier /tmp sera utilisé"
"Push categories","Envoyez les catégories"
"Feed ID","Identifiant du flux"
"Add a feed","Ajouter un flux"
"Additionnal feed","Flux additionnel"
"Add an additional feed to the ACP response, typicaly an hit-parade or any other feed configured in AFSStore Back-office.","Ajoute un flux additionnel à la réponse de l'ACP, typiquement un hit-parade ou bien tout autre flux configuré dans le Back-Office AFSStore."
"XSLTProcessor class doesn't exist, you must install php xsl extension, otherwise the autocomplete will not run correctly","La classe XSLTProcessor n'existe pas, vous devez installer le extension php xsl, sinon  l'auto-complétion ne fonctionnera pas correctement"
"ZipArchive class doesn't exist, you must install php zip extension, otherwise the zip operation during export may not run correctly","La classe ZipArchive n'existe pas, vous devez installer le extension php zip, sinon l'opération de zip lors de l'export pourrait ne pas fonctionner correctement"
"DOMDocument class doesn't exist, you must install php libxml extension, otherwise the xsd validation during export will not run and autocomplete neither","La classe DOMDocument n'existe pas, vous devez installer le extension php libxml, sinon la validation xsd lors de l'export ne fonctionnera pas et l'auto-complétion non plus"
"The curl php extension is not installed, it's required to upload export files","L'extension php curl n'est pas installée, elle est nécéssaire à l'upload des fichiers d'export"
"The curl php extension doesn't support https protocol, libcurl must be upgraded on your system, otherwise the export files won't be uploaded","L'extension php curl ne supporte pas le protocol https, libcurl doit être mis à jour sur le système, sinon l'upload des fichiers d'export ne se fera pas"
"Upload Type","Type d'envoi"
"Redirect to the product page","Rediriger vers la page prdouit"
"In case there's only one result : redirect to product page","Dans le cas où il n'y a qu'un seul résultat : rediriger vers la page produit"
"Always","Toujours"
"Unless there's a spellcheck","Sauf si il y a une suggestion orthographique"
"Never","Jamais""Query Spellcheck sentence","Phrase de recherche basée sur la suggestion orthographique"
"Text to display when a spellcheck based query has been made. Use {originalQuery} and {spellcheck} keyword to include the original query and the spellcheck in your text, leave empty to disable the functionality","Texte à afficher quand une recherche basée sur une suggestion orthographique a été faite. Utilisez {originalQuery} et {spellcheck} pour inclure la recherche original et la correction dans votre texte, laissez vide pour désactiver la fonctionnalité"
"No result found for '{originalQuery}'. Here the results for '{spellcheck}'.","Aucun résultat trouvé à partir de votre recherche initiale '{originalQuery}'. Voici les résultats pour la recherche '{spellcheck}'."

